api,family,operation_id,http,mutating,google_tools,connector_tools,covered_by
calendar,acl,calendar.acl.delete,DELETE,yes,,,neither
calendar,acl,calendar.acl.get,GET,,,,neither
calendar,acl,calendar.acl.insert,POST,yes,,,neither
calendar,acl,calendar.acl.list,GET,,,,neither
calendar,acl,calendar.acl.patch,PATCH,yes,,,neither
calendar,acl,calendar.acl.update,PUT,yes,,,neither
calendar,acl,calendar.acl.watch,POST,yes,,,neither
calendar,calendarList,calendar.calendarList.delete,DELETE,yes,,,neither
calendar,calendarList,calendar.calendarList.get,GET,,,,neither
calendar,calendarList,calendar.calendarList.insert,POST,yes,,,neither
calendar,calendarList,calendar.calendarList.list,GET,,list_calendars,list_calendars,both
calendar,calendarList,calendar.calendarList.patch,PATCH,yes,,,neither
calendar,calendarList,calendar.calendarList.update,PUT,yes,,,neither
calendar,calendarList,calendar.calendarList.watch,POST,yes,,,neither
calendar,calendars,calendar.calendars.clear,POST,yes,,,neither
calendar,calendars,calendar.calendars.delete,DELETE,yes,,,neither
calendar,calendars,calendar.calendars.get,GET,,,,neither
calendar,calendars,calendar.calendars.insert,POST,yes,,,neither
calendar,calendars,calendar.calendars.patch,PATCH,yes,,,neither
calendar,calendars,calendar.calendars.transferOwnership,POST,yes,,,neither
calendar,calendars,calendar.calendars.update,PUT,yes,,,neither
calendar,channels,calendar.channels.stop,POST,yes,,,neither
calendar,colors,calendar.colors.get,GET,,,,neither
calendar,events,calendar.events.delete,DELETE,yes,delete_event,delete_event,both
calendar,events,calendar.events.get,GET,,get_event,get_event,both
calendar,events,calendar.events.import,POST,yes,,,neither
calendar,events,calendar.events.insert,POST,yes,create_event,create_event,both
calendar,events,calendar.events.instances,GET,,,,neither
calendar,events,calendar.events.list,GET,,list_events,list_events,both
calendar,events,calendar.events.move,POST,yes,,,neither
calendar,events,calendar.events.patch,PATCH,yes,respond_to_event update_event,respond_to_event update_event,both
calendar,events,calendar.events.quickAdd,POST,yes,,,neither
calendar,events,calendar.events.update,PUT,yes,,,neither
calendar,events,calendar.events.watch,POST,yes,,,neither
calendar,freebusy,calendar.freebusy.query,POST,yes,suggest_time,suggest_time,both
calendar,settings,calendar.settings.get,GET,,,,neither
calendar,settings,calendar.settings.list,GET,,,,neither
calendar,settings,calendar.settings.watch,POST,yes,,,neither
gmail,users,gmail.users.getProfile,GET,,,,neither
gmail,users,gmail.users.stop,POST,yes,,,neither
gmail,users,gmail.users.watch,POST,yes,,,neither
gmail,users.drafts,gmail.users.drafts.create,POST,yes,create_draft,create_draft,both
gmail,users.drafts,gmail.users.drafts.delete,DELETE,yes,,,neither
gmail,users.drafts,gmail.users.drafts.get,GET,,get_draft,get_draft,both
gmail,users.drafts,gmail.users.drafts.list,GET,,list_drafts,list_drafts,both
gmail,users.drafts,gmail.users.drafts.send,POST,yes,,send_message,connector-only
gmail,users.drafts,gmail.users.drafts.update,PUT,yes,,update_draft,connector-only
gmail,users.history,gmail.users.history.list,GET,,,,neither
gmail,users.labels,gmail.users.labels.create,POST,yes,create_label,create_label,both
gmail,users.labels,gmail.users.labels.delete,DELETE,yes,,delete_label,connector-only
gmail,users.labels,gmail.users.labels.get,GET,,,,neither
gmail,users.labels,gmail.users.labels.list,GET,,list_labels,list_labels,both
gmail,users.labels,gmail.users.labels.patch,PATCH,yes,,update_label,connector-only
gmail,users.labels,gmail.users.labels.update,PUT,yes,,,neither
gmail,users.messages,gmail.users.messages.batchDelete,POST,yes,,,neither
gmail,users.messages,gmail.users.messages.batchModify,POST,yes,,,neither
gmail,users.messages,gmail.users.messages.delete,DELETE,yes,,,neither
gmail,users.messages,gmail.users.messages.get,GET,,get_message,get_message,both
gmail,users.messages,gmail.users.messages.import,POST,yes,,,neither
gmail,users.messages,gmail.users.messages.insert,POST,yes,,,neither
gmail,users.messages,gmail.users.messages.list,GET,,,,neither
gmail,users.messages,gmail.users.messages.modify,POST,yes,apply_sensitive_message_label label_message mark_message_spam unlabel_message unmark_message_spam update_message_labels,apply_sensitive_message_label label_message mark_message_spam unlabel_message unmark_message_spam update_message_labels,both
gmail,users.messages,gmail.users.messages.send,POST,yes,,forward reply send_message,connector-only
gmail,users.messages,gmail.users.messages.trash,POST,yes,apply_sensitive_message_label trash_message,apply_sensitive_message_label trash_message,both
gmail,users.messages,gmail.users.messages.untrash,POST,yes,untrash_message,untrash_message,both
gmail,users.messages.attachments,gmail.users.messages.attachments.get,GET,,,,neither
gmail,users.settings,gmail.users.settings.getAutoForwarding,GET,,,,neither
