api,family,method,http,path,operation_id,mutating,paging,deprecated,media_download,media_upload,scopes,narrowest_scope,summary
calendar,acl,delete,DELETE,calendars/{calendarId}/acl/{ruleId},calendar.acl.delete,yes,,,,,calendar calendar.acls,https://www.googleapis.com/auth/calendar.acls,Deletes an access control rule.
calendar,acl,get,GET,calendars/{calendarId}/acl/{ruleId},calendar.acl.get,,,,,,calendar calendar.acls calendar.acls.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.readonly,Returns an access control rule.
calendar,acl,insert,POST,calendars/{calendarId}/acl,calendar.acl.insert,yes,,,,,calendar calendar.acls,https://www.googleapis.com/auth/calendar.acls,Creates an access control rule.
calendar,acl,list,GET,calendars/{calendarId}/acl,calendar.acl.list,,cursor,,,,calendar calendar.acls calendar.acls.readonly,https://www.googleapis.com/auth/calendar.acls.readonly,Returns the rules in the access control list for the calendar.
calendar,acl,patch,PATCH,calendars/{calendarId}/acl/{ruleId},calendar.acl.patch,yes,,,,,calendar calendar.acls,https://www.googleapis.com/auth/calendar.acls,Updates an access control rule. This method supports patch semantics.
calendar,acl,update,PUT,calendars/{calendarId}/acl/{ruleId},calendar.acl.update,yes,,,,,calendar calendar.acls,https://www.googleapis.com/auth/calendar.acls,Updates an access control rule.
calendar,acl,watch,POST,calendars/{calendarId}/acl/watch,calendar.acl.watch,yes,cursor,,,,calendar calendar.acls calendar.acls.readonly,https://www.googleapis.com/auth/calendar.acls.readonly,Watch for changes to ACL resources.
calendar,calendarList,delete,DELETE,users/me/calendarList/{calendarId},calendar.calendarList.delete,yes,,,,,calendar calendar.app.created calendar.calendarlist,https://www.googleapis.com/auth/calendar.calendarlist,Removes a calendar from the user's calendar list.
calendar,calendarList,get,GET,users/me/calendarList/{calendarId},calendar.calendarList.get,,,,,,calendar calendar.app.created calendar.calendarlist calendar.calendarlist.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.calendarlist.readonly,Returns a calendar from the user's calendar list.
calendar,calendarList,insert,POST,users/me/calendarList,calendar.calendarList.insert,yes,,,,,calendar calendar.calendarlist,https://www.googleapis.com/auth/calendar.calendarlist,Inserts an existing calendar into the user's calendar list.
calendar,calendarList,list,GET,users/me/calendarList,calendar.calendarList.list,,cursor,,,,calendar calendar.calendarlist calendar.calendarlist.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.calendarlist.readonly,Returns the calendars on the user's calendar list.
calendar,calendarList,patch,PATCH,users/me/calendarList/{calendarId},calendar.calendarList.patch,yes,,,,,calendar calendar.app.created calendar.calendarlist,https://www.googleapis.com/auth/calendar.calendarlist,Updates an existing calendar on the user's calendar list. This method supports patch semantics.
calendar,calendarList,update,PUT,users/me/calendarList/{calendarId},calendar.calendarList.update,yes,,,,,calendar calendar.app.created calendar.calendarlist,https://www.googleapis.com/auth/calendar.calendarlist,Updates an existing calendar on the user's calendar list.
calendar,calendarList,watch,POST,users/me/calendarList/watch,calendar.calendarList.watch,yes,cursor,,,,calendar calendar.calendarlist calendar.calendarlist.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.calendarlist.readonly,Watch for changes to CalendarList resources.
calendar,calendars,clear,POST,calendars/{calendarId}/clear,calendar.calendars.clear,yes,,,,,calendar calendar.calendars,https://www.googleapis.com/auth/calendar.calendars,Clears a primary calendar. This operation deletes all events associated with the primary calendar of an account.
calendar,calendars,delete,DELETE,calendars/{calendarId},calendar.calendars.delete,yes,,,,,calendar calendar.app.created calendar.calendars,https://www.googleapis.com/auth/calendar.calendars,Deletes a secondary calendar. Use calendars.clear for clearing all events on primary calendars.
calendar,calendars,get,GET,calendars/{calendarId},calendar.calendars.get,,,,,,calendar calendar.app.created calendar.calendars calendar.calendars.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.calendars.readonly,Returns metadata for a calendar.
calendar,calendars,insert,POST,calendars,calendar.calendars.insert,yes,,,,,calendar calendar.app.created calendar.calendars,https://www.googleapis.com/auth/calendar.calendars,Creates a secondary calendar. The authenticated user for the request is made the data owner of the new calendar.  Note: We recommend to authenticate as the intended data owner of the calendar. You can use domain-wide delegation of authority to allow applications to act on behalf of a specific user. 
calendar,calendars,patch,PATCH,calendars/{calendarId},calendar.calendars.patch,yes,,,,,calendar calendar.app.created calendar.calendars,https://www.googleapis.com/auth/calendar.calendars,Updates metadata for a calendar. This method supports patch semantics.
calendar,calendars,transferOwnership,POST,calendars/{calendarId}/transferOwnership,calendar.calendars.transferOwnership,yes,,,,,calendar calendar.calendars,https://www.googleapis.com/auth/calendar.calendars,"Transfers a secondary calendar between users within a Google Workspace organization. Requires user authentication with Manage Calendars administrator privilege, and one of the following authorization scopes:  - https://www.googleapis.com/auth/calendar  - https://www.googleapis.com/auth/calendar.cale"
calendar,calendars,update,PUT,calendars/{calendarId},calendar.calendars.update,yes,,,,,calendar calendar.app.created calendar.calendars,https://www.googleapis.com/auth/calendar.calendars,Updates metadata for a calendar.
calendar,channels,stop,POST,channels/stop,calendar.channels.stop,yes,,,,,calendar calendar.acls calendar.acls.readonly calendar.app.created calendar.calendarlist calendar.calendarlist.readonly calendar.events calendar.events.freebusy calendar.events.owned calendar.events.owned.readonly calendar.events.public.readonly calendar.events.readonly calendar.readonly calendar.settings.readonly,https://www.googleapis.com/auth/calendar.events.public.readonly,Stop watching resources through this channel
calendar,colors,get,GET,colors,calendar.colors.get,,,,,,calendar calendar.app.created calendar.calendarlist calendar.calendarlist.readonly calendar.events.freebusy calendar.events.owned calendar.events.owned.readonly calendar.events.public.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.events.public.readonly,Returns the color definitions for calendars and events.
calendar,events,delete,DELETE,calendars/{calendarId}/events/{eventId},calendar.events.delete,yes,,,,,calendar calendar.app.created calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,Deletes an event.
calendar,events,get,GET,calendars/{calendarId}/events/{eventId},calendar.events.get,,,,,,calendar calendar.app.created calendar.events calendar.events.freebusy calendar.events.owned calendar.events.owned.readonly calendar.events.public.readonly calendar.events.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.events.public.readonly,"Returns an event based on its Google Calendar ID. To retrieve an event using its iCalendar ID, call the events.list method using the iCalUID parameter."
